F148W,F169M,F172M,N219M,N279N,U,B,V,R,I,J,H,K,FUV,NUV,age,Z
6.17255E-23,7.27627E-23,7.97857E-23,9.56148E-23,1.32223E-22,2.58E-22,5.63E-22,6.74E-22,7.86E-22,8.15E-22,8.77E-22,8.68E-22,1.67E-22,6.85E-23,1.10E-22,1.00E-04,9.10E+00
3.71981E-23,4.58089E-23,5.17456E-23,6.46107E-23,9.87175E-23,2.22E-22,4.95E-22,6.41E-22,7.86E-22,8.33E-22,9.13E-22,9.05E-22,1.73E-22,4.24E-23,7.67E-23,1.00E-04,9.20E+00
2.21098E-23,2.86438E-23,3.42415E-23,4.50791E-23,7.36253E-23,1.74E-22,3.93E-22,5.19E-22,6.38E-22,6.76E-22,7.36E-22,7.24E-22,1.38E-22,2.59E-23,5.49E-23,1.00E-04,9.30E+00
1.23912E-23,1.69395E-23,2.19983E-23,3.11282E-23,5.53064E-23,1.40E-22,3.21E-22,4.41E-22,5.59E-22,6.02E-22,6.69E-22,6.66E-22,1.28E-22,1.48E-23,3.93E-23,1.00E-04,9.40E+00
5.82044E-24,8.67145E-24,1.32514E-23,2.12836E-23,4.25828E-23,1.14E-22,2.61E-22,3.63E-22,4.61E-22,4.96E-22,5.46E-22,5.39E-22,1.03E-22,7.08E-24,2.84E-23,1.00E-04,9.50E+00
2.63268E-24,4.20667E-24,8.01814E-24,1.50043E-23,3.29014E-23,9.13E-23,2.09E-22,2.99E-22,3.87E-22,4.20E-22,4.68E-22,4.65E-22,8.89E-23,3.12E-24,2.09E-23,1.00E-04,9.60E+00
1.15949E-24,2.01845E-24,4.73585E-24,1.05475E-23,2.50387E-23,6.59E-23,1.43E-22,1.95E-22,2.42E-22,2.56E-22,2.72E-22,2.60E-22,4.93E-23,1.33E-24,1.54E-23,1.00E-04,9.70E+00
1.08125E-24,1.5963E-24,2.99176E-24,7.14018E-24,1.84085E-23,5.41E-23,1.21E-22,1.83E-22,2.46E-22,2.72E-22,3.10E-22,3.12E-22,5.99E-23,1.24E-24,1.08E-23,1.00E-04,9.80E+00
1.88019E-24,2.28433E-24,3.22059E-24,6.81146E-24,1.74217E-23,5.15E-23,1.12E-22,1.71E-22,2.31E-22,2.55E-22,2.90E-22,2.91E-22,5.57E-23,2.04E-24,1.02E-23,1.00E-04,9.90E+00
2.5396E-24,2.81428E-24,3.42208E-24,6.34569E-24,1.46092E-23,3.68E-23,7.41E-23,1.04E-22,1.34E-22,1.44E-22,1.55E-22,1.49E-22,2.82E-23,2.66E-24,9.07E-24,1.00E-04,1.00E+01
3.43851E-24,3.5424E-24,3.7653E-24,5.49836E-24,1.21661E-23,3.95E-23,8.92E-23,1.51E-22,2.17E-22,2.49E-22,2.98E-22,3.07E-22,5.94E-23,3.49E-24,7.57E-24,1.00E-04,1.01E+01
2.33956E-24,2.32277E-24,2.35438E-24,3.1213E-24,6.45552E-24,1.93E-23,4.12E-23,6.76E-23,9.60E-23,1.09E-22,1.27E-22,1.29E-22,2.48E-23,2.33E-24,4.16E-24,1.00E-04,1.02E+01
2.32456E-24,2.25416E-24,2.21577E-24,2.66447E-24,5.18601E-24,1.59E-23,3.39E-23,5.65E-23,8.11E-23,9.25E-23,1.09E-22,1.10E-22,2.12E-23,2.29E-24,3.44E-24,1.00E-04,1.03E+01
2.35462E-24,2.24236E-24,2.16579E-24,2.47184E-24,4.66087E-24,1.49E-23,3.27E-23,5.67E-23,8.33E-23,9.62E-23,1.15E-22,1.18E-22,2.29E-23,2.30E-24,3.13E-24,1.00E-04,1.04E+01
2.21891E-24,2.07252E-24,1.97979E-24,2.3632E-24,5.44299E-24,1.99E-23,4.44E-23,7.87E-23,1.16E-22,1.35E-22,1.62E-22,1.67E-22,3.23E-23,2.15E-24,3.25E-24,1.00E-04,1.05E+01
1.80334E-24,1.66897E-24,1.57822E-24,1.55528E-24,2.30003E-24,8.33E-24,2.02E-23,3.83E-23,5.93E-23,7.02E-23,8.76E-23,9.18E-23,1.80E-23,1.73E-24,1.77E-24,1.00E-04,1.06E+01
1.74653E-24,1.59387E-24,1.47338E-24,1.34658E-24,1.79169E-24,6.01E-24,1.39E-23,2.60E-23,4.00E-23,4.71E-23,5.81E-23,6.00E-23,1.17E-23,1.67E-24,1.46E-24,1.00E-04,1.07E+01
9.91491E-25,8.94891E-25,8.19561E-25,8.40992E-25,2.14267E-24,1.09E-23,2.67E-23,5.13E-23,7.88E-23,9.28E-23,1.15E-22,1.20E-22,2.33E-23,9.42E-25,1.17E-24,1.00E-04,1.08E+01
3.64933E-25,3.25479E-25,2.94788E-25,2.8074E-25,5.79312E-25,2.77E-24,6.94E-24,1.34E-23,2.11E-23,2.51E-23,3.12E-23,3.21E-23,6.29E-24,3.45E-25,3.55E-25,1.00E-04,1.09E+01
2.8801E-25,2.56743E-25,2.32104E-25,2.01066E-25,2.74172E-25,1.24E-24,3.18E-24,6.23E-24,9.74E-24,1.16E-23,1.44E-23,1.50E-23,2.92E-24,2.72E-25,2.16E-25,1.00E-04,1.10E+01
8.4841E-20,7.67068E-20,7.02029E-20,5.89249E-20,3.87418E-20,2.54E-20,2.09E-20,1.47E-20,1.08E-20,7.66E-21,3.65E-21,2.18E-21,1.14E-21,8.06E-20,5.34E-20,1.00E-03,6.00E+00
9.35939E-20,8.50983E-20,7.81368E-20,6.57225E-20,4.33196E-20,2.84E-20,2.33E-20,1.64E-20,1.20E-20,8.53E-21,4.04E-21,2.40E-21,1.27E-21,8.92E-20,5.96E-20,1.00E-03,6.10E+00
1.02045E-19,9.31709E-20,8.59814E-20,7.2717E-20,4.82877E-20,3.18E-20,2.61E-20,1.84E-20,1.35E-20,9.60E-21,4.54E-21,2.69E-21,1.45E-21,9.74E-20,6.61E-20,1.00E-03,6.20E+00
1.23968E-19,1.14187E-19,1.07091E-19,9.2832E-20,6.47126E-20,4.59E-20,4.26E-20,3.51E-20,3.16E-20,2.74E-20,2.23E-20,1.97E-20,1.32E-20,1.19E-19,8.57E-20,1.00E-03,6.30E+00
1.20504E-19,1.11288E-19,1.04875E-19,9.15061E-20,6.48637E-20,4.70E-20,4.67E-20,4.46E-20,4.76E-20,4.67E-20,4.76E-20,4.70E-20,3.10E-20,1.16E-19,8.50E-20,1.00E-03,6.40E+00
9.74075E-20,9.00723E-20,8.48904E-20,7.42385E-20,5.31708E-20,3.94E-20,3.86E-20,3.27E-20,3.01E-20,2.65E-20,2.23E-20,2.01E-20,1.30E-20,9.35E-20,6.91E-20,1.00E-03,6.50E+00
7.66563E-20,7.14456E-20,6.78121E-20,6.05846E-20,4.6023E-20,4.17E-20,5.04E-20,4.22E-20,3.60E-20,2.95E-20,2.03E-20,1.51E-20,8.54E-21,7.39E-20,5.72E-20,1.00E-03,6.60E+00
5.91962E-20,5.49296E-20,5.21951E-20,4.65156E-20,3.52177E-20,3.38E-20,4.43E-20,3.91E-20,3.53E-20,3.04E-20,2.34E-20,1.86E-20,9.36E-21,5.70E-20,4.38E-20,1.00E-03,6.70E+00
